,ZONA, SUBURBAN , VAN , SPRINTER ,, SUBURBAN , VAN , SPRINTER 
,, ONE WAY , ONE WAY , ONE WAY ,, ROUNDTRIP , ROUNDTRIP , ROUNDTRIP 
 - San Jose,Alegranza, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Royal Solaris Gran Faro, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Cabo Azul, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Casa Natalia, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Club Campestre, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,El Encanto Inn, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Hotel & Suites Las Palmas, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Hyatt Place, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Hyatt Ziva, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Krystal Grand Los Cabos, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Mykonos, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Park Royal Homestay, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Posada real, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Royal Decameron, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Royal Solaris, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Six Two Four, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Tortuga Bay, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Tropican Inn, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Viceroy , $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Vidanta Grand Mayan, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Wroldmark Coral Baja, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Puerto Los Cabos,Hotel El Ganzo, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Puerto Los Cabos,Acre, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Puerto Los Cabos,Secrets Puerto Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Puerto Los Cabos,JW Marriott, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Puerto Los Cabos,"Zadun, A Ritz-Carlton Reserve", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Corridor,Cabo Surf Hotel, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Casa del Mar, $105.00 , $115.00 , $150.00 ,, $200.00 , $210.00 , $270.00 
 - Corridor,Chileno Bay Resort, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Dreams Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,El Dorado, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Fiesta Americana Grand, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Four Seasons Cabo del Sol, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Garza Blanca, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Grand Velas Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Grand Velas Boutique, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Hacienda del Mar, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Hampton Inn & Suites Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Hilton Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Las Ventanas al Paraiso, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Le Blanc, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Live Aqua Residence Club, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Mar del Cabo, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Maravilla, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Marquis Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Montage Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,O&O Palmilla, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Paradisus, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Querencia, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Park Hyatt Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Solaz, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,The Westin Los Cabos, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Villa at Cabo del Sol, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Villa at Chileno Bay, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Villa Rancho Cerro Colorado, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Villa Valenciana, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Corridor,Villas del Mar, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Cabo San Lucas,Bahia, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Breathless Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Casa Dorada, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,City Express Suites, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Comfort Inn & Suites Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Corazon Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Esperanza, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Fairfield Inn Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Hacienda Encantada, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Holiday Inn Express Cabo San Lucas, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Hotel Quinta Sol, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Hotel Tesoro Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Los Cabos Golf Resort, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Los Patios, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Marina Fiesta Resort & SPA, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Me Cabo, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Medano Hotel & Suites, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Misiones Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Ocho Cascadas, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Pueblo Bonito Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Pueblo Bonito Rose, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Seven Crown Express, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Sirena del Mar - Welk Resorts, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Sunrock - Condo Hotel, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,"The Cape, a Thompson Hotel", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Villa del Arco, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Villa del Palmar, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Villa la Estancia, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Pacifico,Novaispania, $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Pacifico,Playa Grande Los Cabos, $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
